   456456	2020-03-18 01:40:57	1	0	0	0
   456456	2020-03-18 01:41:17	1	0	0	0
   456456	2020-03-18 02:05:17	1	1	0	0
   654654	2020-03-18 02:06:25	1	1	0	0
   456456	2020-03-18 02:06:27	1	1	0	0
   456456	2020-03-18 02:07:32	1	0	0	0
   654654	2020-03-18 02:07:34	1	0	0	0
   456456	2020-03-18 02:10:49	1	0	0	0
   654654	2020-03-20 00:59:29	1	0	0	0
   654654	2020-03-20 00:59:40	1	0	0	0
   654654	2020-03-20 05:11:29	1	0	0	0
      501	2020-03-20 18:17:56	1	1	1	0
   654654	2020-03-20 18:35:42	1	1	0	0
   654654	2020-03-20 18:36:38	1	1	0	0
      501	2020-03-20 18:37:12	1	1	1	0
